Dielectric,Class,,
A,C1,,
B,C2,,
BD,C2,,
BG,C1,,
BJ,C2,,
BL,C2,,
BN,C2,,
BP,C1,,
BR,C2,,
BV,C3,,
BX,C2,,
C,C2,,
"C0G, NP0 (1B)",C1,,
"C0G, NP0",C1,,
C0H,C1,,
C0J,C1,,
C0K,C1,,
CCG,C1,,
CD,C2,,
CF,C2,,
CH,C1,,
CL,C1,,
D,C3,,
E,C3,Kyocera,C1
F,C3,,
GBBL,C2,,
H3M,NA,,
JB,C2,,
L,C3,Johanson,C1
M,C1,,
N,C1,,
N1500,C1,,
N2000,C1,,
N2200,C1,,
N2500,C1,,
N2800,C1,,
N4700,C1,,
N750,C1,,
NP0,C1,,
NS,C1,,
P100,C1,,
P2G,C1,,
P2H,C1,,
P3K,C1,,
P90,C1,,
R,C3,,
R16,C1,,
R230,C1,,
R2H,C1,,
R3A,C1,,
R3L,C1,,
R42,C1,,
R7,C1,,
R85,C1,,
S2H,C1,,
S3B,NA,,
S3L,C1,,
S3N,C1,,
SL,C1,,
SL/GP,C1,,
T,C2,,
T2H,,,
U2J,,,
U2K,,,
U2M,,,
UNJ,,,
UX,,,
X0U,,,
X5E,C2,,
X5F,C2,,
X5P,C2,,
X5R,C2,,
X5S,C2,,
X5U,C3,,
X5V,C3,,
X6S,C2,,
X6T,C3,,
X7R (2R1),C2,,
X7R (VHT),C2,,
X7R,C2,,
X7S,C2,,
X7T,C3,,
X7U,C3,,
X8G,C2,,
X8L,,,
X8M,,,
X8R,C2,,
XAN,,,
Y,,,
Y5F,C2,,
Y5P (B),,,
Y5P,C2,,
Y5R,C2,,
Y5S,C2,,
Y5T,C3,,
Y5U,C3,,
Y5U (E),C3,,
Y5V (F),C2,,
Y6P,C2,,
YSP,C2,,
Z4V,,,
Z5P,C2,,
Z5T,C2,,
Z5U,C3,,
Z5V,C3,,
ZLM,,,